TrisCalDate,TTris,mVTris,HOBO_Orion,probe_type
20230727,23.092,-83,Orion,refillable
20230727,22.029,-84.1,Orion,refillable
20230727,21.08,-85.4,Orion,refillable
20230727,19.595,-86.3,Orion,refillable
20230727,18.813,-87.9,Orion,refillable
20230727,17.768,-89.7,Orion,refillable
20230727,16.154,-90.9,Orion,refillable
20230810,23.1,-86.2,Orion,refillable
20230810,22.1,-87.1,Orion,refillable
20230810,21,-88.3,Orion,refillable
20230810,20,-90.5,Orion,refillable
20230810,18.9,-91.6,Orion,refillable
20230810,17.6,-93.1,Orion,refillable
20230810,16.9,-93.9,Orion,refillable
20230810,16.1,-95.2,Orion,refillable
20231019,23.724,-89.3,Orion,refillable
20231019,22.823,-89.7,Orion,refillable
20231019,21.722,-91.1,Orion,refillable
20231019,20.644,-92.6,Orion,refillable
20231019,19.686,-94,Orion,refillable
20231019,18.739,-95.4,Orion,refillable
20231019,17.726,-96.7,Orion,refillable
20231019,16.71,-98.2,Orion,refillable
20231019,15.719,-99.7,Orion,refillable
20231019,14.742,-100.9,Orion,refillable
20231019,13.717,-102.5,Orion,refillable
20231023,23.731,-88.8,Orion,refillable
20231023,22.825,-89.6,Orion,refillable
20231023,21.789,-90.1,Orion,refillable
20231023,20.559,-92.6,Orion,refillable
20231023,20.132,-93.4,Orion,refillable
20231024,23.856,-88.1,Orion,refillable
20231024,23.073,-89.3,Orion,refillable
20231024,22.119,-90.4,Orion,refillable
20231024,20.966,-91.9,Orion,refillable
20231024,20.023,-93.4,Orion,refillable
20231024,19.037,-94.8,Orion,refillable
20231024,17.954,-96.1,Orion,refillable
20231024,17,-97.5,Orion,refillable
20231024,16.039,-98.9,Orion,refillable
20231024,15.015,-100.3,Orion,refillable
20231024,14.174,-101.4,Orion,refillable
20231024,13.095,-103.1,Orion,refillable
20231027,20.412,-92.7,Orion,refillable
20231027,19.173,-94.9,Orion,refillable
20231027,18.004,-97,Orion,refillable
20231027,16.893,-98.9,Orion,refillable
20231027,15.807,-100.7,Orion,refillable
20231027,14.758,-102.4,Orion,refillable
20231027,13.615,-104.3,Orion,refillable
20231029,21.532,-90.8,Orion,refillable
20231029,19.997,-94.3,Orion,refillable
20231029,17.963,-98,Orion,refillable
20231029,16.939,-99.3,Orion,refillable
20231029,15.931,-101.9,Orion,refillable
20231029,14.81,-102.9,Orion,refillable
20231029,13.824,-104.5,Orion,refillable
20231101,13.94,-103,Orion,refillable
20231101,14.94,-101.5,Orion,refillable
20231101,15.97,-100,Orion,refillable
20231101,17.19,-98.3,Orion,refillable
20231101,18.02,-97.1,Orion,refillable
20231101,19.85,-96.2,Orion,refillable
20231101,20.15,-94.8,Orion,refillable
20231103,20.936,-92.8,Orion,refillable
20231103,19.957,-94.7,Orion,refillable
20231103,18.967,-95.3,Orion,refillable
20231103,17.856,-96.8,Orion,refillable
20231103,16.925,-98.3,Orion,refillable
20231103,15.977,-99.9,Orion,refillable
20231103,14.845,-101.5,Orion,refillable
20231103,13.967,-102.8,Orion,refillable
20240401,15.8,-108.1,Orion,refillable
20240401,16.39,-107.5,Orion,refillable
20240401,18.4,-104,Orion,refillable
20240401,20.3,-100.4,Orion,refillable
20240401,21.79,-98.7,Orion,refillable
20240404,21.355,-100.8,Orion,refillable
20240404,20.1,-102.3,Orion,refillable
20240404,19.079,-103.4,Orion,refillable
20240404,18.004,-105.1,Orion,refillable
20240404,17.056,-106.3,Orion,refillable
20240404,15.83,-108.5,Orion,refillable
20240404,14.702,-110.2,Orion,refillable
20240404,13.844,-111.2,Orion,refillable
20240404,12.804,-112.7,Orion,refillable
20240404,11.823,-113.8,Orion,refillable
20240405,21.204,-73.8,Orion,gel
20240405,20.317,-75.3,Orion,gel
20240405,19.295,-76.9,Orion,gel
20240405,18.26,-78.3,Orion,gel
20240405,17.085,-79.9,Orion,gel
20240405,16.185,-81.5,Orion,gel
20240405,15.188,-82.8,Orion,gel
20240405,14.2,-84.1,Orion,gel
20240405,13.082,-85.7,Orion,gel
20240405,12.199,-87.2,Orion,gel
20240405,11.201,-88.7,Orion,gel
20240408,21.436,-74.1,Orion,gel
20240408,19.63,-76.6,Orion,gel
20240408,18.624,-78.2,Orion,gel
20240408,17.649,-79.5,Orion,gel
20240408,16.603,-81,Orion,gel
20240408,15.656,-82.3,Orion,gel
20240408,14.636,-83.8,Orion,gel
20240408,13.602,-85.2,Orion,gel
20240408,12.583,-86.6,Orion,gel
20240408,11.673,-87.9,Orion,gel
20240411,21.162,-72.3,Orion,gel
20240411,20.514,-74.4,Orion,gel
20240411,19.607,-76.5,Orion,gel
20240411,18.591,-78.2,Orion,gel
20240411,17.54,-79.7,Orion,gel
20240411,16.715,-81.2,Orion,gel
20240411,15.72,-82.5,Orion,gel
20240411,14.764,-83.9,Orion,gel
20240411,13.713,-85.6,Orion,gel
20240411,12.698,-86.8,Orion,gel
20240411,11.671,-87.9,Orion,gel
20240415,21.16,-74.8,Orion,gel
20240415,20.589,-75.4,Orion,gel
20240415,19.482,-77.1,Orion,gel
20240415,18.692,-78.4,Orion,gel
20240415,17.804,-79.5,Orion,gel
20240415,16.698,-81.1,Orion,gel
20240415,15.876,-82.3,Orion,gel
20240415,14.694,-83.9,Orion,gel
20240415,13.694,-85.3,Orion,gel
20240415,12.677,-87,Orion,gel
20240418,21.303,-75.2,Orion,gel
20240418,20.64,-75.7,Orion,gel
20240418,19.605,-77.1,Orion,gel
20240418,18.775,-78.2,Orion,gel
20240418,17.783,-79.6,Orion,gel
20240418,16.676,-80.9,Orion,gel
20240418,15.742,-82.5,Orion,gel
20240418,14.758,-84,Orion,gel
20240418,13.725,-85.4,Orion,gel
20240418,12.911,-86.8,Orion,gel
20240418,12.038,-88,Orion,gel
20240422,21.225,-75.9,Orion,gel (possible leakage)
20240422,20.743,-76.3,Orion,gel (possible leakage)
20240422,19.718,-76.9,Orion,gel (possible leakage)
20240422,18.674,-77.9,Orion,gel (possible leakage)
20240422,17.628,-78.9,Orion,gel (possible leakage)
20240422,16.572,-80.3,Orion,gel (possible leakage)
20240422,15.591,-81.6,Orion,gel (possible leakage)
20240422,14.488,-83.3,Orion,gel (possible leakage)
20240422,13.497,-85.4,Orion,gel (possible leakage)
20240422,12.911,-86.5,Orion,gel (possible leakage)
20240422,12.067,-88.1,Orion,gel (possible leakage)
20240425,21.023,-80.2,Orion,refillable
20240425,20.633,-80.4,Orion,refillable
20240425,19.575,-102.2,Orion,refillable
20240425,18.547,-103.2,Orion,refillable
20240425,17.809,-103.7,Orion,refillable
20240425,16.736,-104.7,Orion,refillable
20240425,15.661,-105.8,Orion,refillable
20240425,14.709,-106.8,Orion,refillable
20240425,13.596,-108.2,Orion,refillable
20240425,12.860,-109.3,Orion,refillable
20240425,12.020,-110.5,Orion,refillable
20240429,21.781,-101.4,Orion,refillable
20240429,20.720,-101.8,Orion,refillable
20240429,19.590,-102.2,Orion,refillable
20240429,18.736,-102.5,Orion,refillable
20240429,17.407,-103,Orion,refillable
20240429,16.708,-103.2,Orion,refillable
20240429,15.720,-103.6,Orion,refillable
20240429,14.750,-104,Orion,refillable
20240429,13.798,-104.6,Orion,refillable
20240429,12.624,-107.6,Orion,refillable
20240429,12.013,-108.7,Orion,refillable
20240502,21.542,-101.9,Orion,refillable
20240502,20.637,-102.4,Orion,refillable
20240502,19.358,-103.1,Orion,refillable
20240502,18.471,-103.9,Orion,refillable
20240502,17.480,-105.1,Orion,refillable
20240502,16.495,-106.1,Orion,refillable
20240502,15.581,-107,Orion,refillable
20240502,14.5,-108.3,Orion,refillable
20240502,13.405,-109,Orion,refillable
20240502,12.787,-110.1,Orion,refillable
20240502,12.168,-110.9,Orion,refillable
20240506,21.295,-103.7,Orion,refillable
20240506,20.706,-103.7,Orion,refillable
20240506,19.603,-104.5,Orion,refillable
20240506,18.534,-105.4,Orion,refillable
20240506,17.515,-106.6,Orion,refillable
20240506,16.705,-107.6,Orion,refillable
20240506,15.479,-108.8,Orion,refillable
20240506,14.710,-110.2,Orion,refillable
20240506,13.506,-112.4,Orion,refillable
20240506,12.666,-113.8,Orion,refillable