#,Date-Time (PST),Ch:1 - Temperature   (Â°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,01/16/2024 10:10:00,20.25,205.68,,,,
2,01/16/2024 10:15:00,20.68,58.74,,,,
3,01/16/2024 10:20:00,20.76,62.24,,,,
4,01/16/2024 10:25:00,20.72,56.00,,,,
5,01/16/2024 10:30:00,20.68,62.70,,,,
6,01/16/2024 10:35:00,20.63,62.70,,,,
7,01/16/2024 10:40:00,20.63,60.52,,,,
8,01/16/2024 10:45:00,20.55,62.30,,,,
9,01/16/2024 10:50:00,20.50,62.30,,,,
10,01/16/2024 10:55:00,20.50,61.80,,,,
11,01/16/2024 11:00:00,20.46,57.34,,,,
12,01/16/2024 11:05:00,20.42,162.36,,,,
13,01/16/2024 11:10:00,20.37,150.64,,,,
14,01/16/2024 11:15:00,20.29,152.40,,,,
15,01/16/2024 11:20:00,20.33,149.72,,,,
16,01/16/2024 11:25:00,20.29,151.52,,,,
17,01/16/2024 11:30:00,20.25,143.60,,,,
18,01/16/2024 11:35:00,20.25,151.64,,,,
19,01/16/2024 11:40:00,20.20,152.52,,,,
20,01/16/2024 11:45:00,20.16,150.76,,,,
21,01/16/2024 11:50:00,20.16,152.52,,,,
22,01/16/2024 11:55:00,20.07,154.20,,,,
23,01/16/2024 12:00:00,20.07,151.64,,,,
24,01/16/2024 12:05:00,20.03,152.52,,,,
25,01/16/2024 12:10:00,20.03,153.44,,,,
26,01/16/2024 12:15:00,19.99,152.52,,,,
27,01/16/2024 12:20:00,19.99,154.32,,,,
28,01/16/2024 12:25:00,19.99,152.52,,,,
29,01/16/2024 12:30:00,19.99,153.44,,,,
30,01/16/2024 12:35:00,19.95,154.32,,,,
31,01/16/2024 12:40:00,19.90,155.20,,,,
32,01/16/2024 12:45:00,19.82,155.20,,,,
33,01/16/2024 12:50:00,19.86,152.52,,,,
34,01/16/2024 12:55:00,19.82,153.44,,,,
35,01/16/2024 13:00:00,19.77,154.32,,,,
36,01/16/2024 13:05:00,19.77,153.44,,,,
37,01/16/2024 13:10:00,19.77,155.20,,,,
38,01/16/2024 13:15:00,19.73,154.32,,,,
39,01/16/2024 13:20:00,19.73,156.12,,,,
40,01/16/2024 13:25:00,19.73,156.12,,,,
41,01/16/2024 13:30:00,19.77,153.52,,,,
42,01/16/2024 13:35:00,19.69,156.12,,,,
43,01/16/2024 13:40:00,19.69,154.44,,,,
44,01/16/2024 13:45:00,19.65,154.44,,,,
45,01/16/2024 13:50:00,19.69,157.00,,,,
46,01/16/2024 13:55:00,19.65,158.80,,,,
47,01/16/2024 14:00:00,19.60,157.88,,,,
48,01/16/2024 14:05:00,19.65,158.80,,,,
49,01/16/2024 14:10:00,19.60,158.80,,,,
50,01/16/2024 14:15:00,19.65,0.44,,,,
51,01/16/2024 14:20:00,19.65,0.44,,,,
52,01/16/2024 14:25:00,19.60,0.44,,,,
53,01/16/2024 14:30:00,19.65,0.44,,,,
54,01/16/2024 14:35:00,19.56,0.44,,,,
55,01/16/2024 14:40:00,19.52,0.44,,,,
56,01/16/2024 14:45:00,19.60,0.44,,,,
57,01/16/2024 14:50:00,19.56,0.22,,,,
58,01/16/2024 14:55:00,19.56,0.22,,,,
59,01/16/2024 15:00:00,19.52,0.44,,,,
60,01/16/2024 15:05:00,19.56,0.22,,,,
61,01/16/2024 15:10:00,19.56,0.00,,,,
62,01/16/2024 15:15:00,19.56,0.00,,,,
63,01/16/2024 15:20:00,19.56,0.00,,,,
64,01/16/2024 15:25:00,19.56,0.00,,,,
65,01/16/2024 15:30:00,19.56,0.00,,,,
66,01/16/2024 15:35:00,19.56,0.00,,,,
67,01/16/2024 15:40:00,19.56,0.00,,,,
68,01/16/2024 15:45:00,19.56,0.00,,,,
69,01/16/2024 15:50:00,19.56,0.00,,,,
70,01/16/2024 15:55:00,19.56,0.00,,,,
71,01/16/2024 16:00:00,19.56,0.00,,,,
72,01/16/2024 16:05:00,19.56,0.00,,,,
73,01/16/2024 16:10:00,19.47,0.22,,,,
74,01/16/2024 16:15:00,19.52,0.89,,,,
75,01/16/2024 16:20:00,19.52,0.00,,,,
76,01/16/2024 16:25:00,19.47,0.00,,,,
77,01/16/2024 16:30:00,19.52,161.48,,,,
78,01/16/2024 16:35:00,19.52,160.56,,,,
79,01/16/2024 16:40:00,19.52,158.00,,,,
80,01/16/2024 16:45:00,19.52,158.80,,,,
81,01/16/2024 16:50:00,19.47,0.00,,,,
82,01/16/2024 16:55:00,19.47,0.00,,,,
83,01/16/2024 17:00:00,19.47,0.00,,,,
84,01/16/2024 17:05:00,19.52,0.00,,,,
85,01/16/2024 17:10:00,19.52,0.00,,,,
86,01/16/2024 17:15:00,19.43,0.00,,,,
87,01/16/2024 17:20:00,19.39,0.00,,,,
88,01/16/2024 17:25:00,19.43,0.00,,,,
89,01/16/2024 17:30:00,19.43,0.00,,,,
90,01/16/2024 17:35:00,19.43,0.00,,,,
91,01/16/2024 17:40:00,19.43,0.00,,,,
92,01/16/2024 17:45:00,19.47,0.00,,,,
93,01/16/2024 17:50:00,19.39,0.00,,,,
94,01/16/2024 17:55:00,19.39,0.00,,,,
95,01/16/2024 18:00:00,19.35,0.00,,,,
96,01/16/2024 18:05:00,19.43,0.00,,,,
97,01/16/2024 18:10:00,19.39,0.00,,,,
98,01/16/2024 18:15:00,19.39,0.00,,,,
99,01/16/2024 18:20:00,19.35,0.00,,,,
100,01/16/2024 18:25:00,19.35,0.00,,,,
101,01/16/2024 18:30:00,19.35,0.00,,,,
102,01/16/2024 18:35:00,19.35,0.00,,,,
103,01/16/2024 18:40:00,19.35,0.00,,,,
104,01/16/2024 18:45:00,19.30,0.00,,,,
105,01/16/2024 18:50:00,19.30,0.00,,,,
106,01/16/2024 18:55:00,19.35,0.00,,,,
107,01/16/2024 19:00:00,19.30,0.00,,,,
108,01/16/2024 19:05:00,19.30,0.00,,,,
109,01/16/2024 19:10:00,19.26,0.00,,,,
110,01/16/2024 19:15:00,19.26,0.00,,,,
111,01/16/2024 19:20:00,19.26,0.00,,,,
112,01/16/2024 19:25:00,19.30,0.00,,,,
113,01/16/2024 19:30:00,19.26,0.00,,,,
114,01/16/2024 19:35:00,19.22,0.00,,,,
115,01/16/2024 19:40:00,19.26,0.00,,,,
116,01/16/2024 19:45:00,19.26,0.00,,,,
117,01/16/2024 19:50:00,19.26,0.00,,,,
118,01/16/2024 19:55:00,19.26,0.00,,,,
119,01/16/2024 20:00:00,19.22,0.00,,,,
120,01/16/2024 20:05:00,19.26,0.00,,,,
121,01/16/2024 20:10:00,19.22,0.00,,,,
122,01/16/2024 20:15:00,19.22,0.00,,,,
123,01/16/2024 20:20:00,19.22,0.00,,,,
124,01/16/2024 20:25:00,19.22,0.00,,,,
125,01/16/2024 20:30:00,19.22,0.00,,,,
126,01/16/2024 20:35:00,19.22,0.00,,,,
127,01/16/2024 20:40:00,19.17,0.00,,,,
128,01/16/2024 20:45:00,19.17,0.00,,,,
129,01/16/2024 20:50:00,19.17,0.00,,,,
130,01/16/2024 20:55:00,19.17,0.00,,,,
131,01/16/2024 21:00:00,19.17,0.00,,,,
132,01/16/2024 21:05:00,19.17,0.00,,,,
133,01/16/2024 21:10:00,19.22,0.00,,,,
134,01/16/2024 21:15:00,19.17,0.00,,,,
135,01/16/2024 21:20:00,19.17,0.00,,,,
136,01/16/2024 21:25:00,19.17,0.00,,,,
137,01/16/2024 21:30:00,19.17,0.00,,,,
138,01/16/2024 21:35:00,19.17,0.00,,,,
139,01/16/2024 21:40:00,19.22,0.00,,,,
140,01/16/2024 21:45:00,19.22,0.00,,,,
141,01/16/2024 21:50:00,19.17,0.00,,,,
142,01/16/2024 21:55:00,19.17,0.00,,,,
143,01/16/2024 22:00:00,19.17,0.00,,,,
144,01/16/2024 22:05:00,19.17,0.00,,,,
145,01/16/2024 22:10:00,19.22,0.00,,,,
146,01/16/2024 22:15:00,19.22,0.00,,,,
147,01/16/2024 22:20:00,19.22,0.00,,,,
148,01/16/2024 22:25:00,19.17,0.00,,,,
149,01/16/2024 22:30:00,19.22,0.00,,,,
150,01/16/2024 22:35:00,19.17,0.00,,,,
151,01/16/2024 22:40:00,19.17,0.00,,,,
152,01/16/2024 22:45:00,19.17,0.00,,,,
153,01/16/2024 22:50:00,19.17,0.00,,,,
154,01/16/2024 22:55:00,19.13,0.00,,,,
155,01/16/2024 23:00:00,19.13,0.00,,,,
156,01/16/2024 23:05:00,19.17,0.00,,,,
157,01/16/2024 23:10:00,19.13,0.00,,,,
158,01/16/2024 23:15:00,19.09,0.00,,,,
159,01/16/2024 23:20:00,19.17,0.00,,,,
160,01/16/2024 23:25:00,19.13,0.00,,,,
161,01/16/2024 23:30:00,19.09,0.00,,,,
162,01/16/2024 23:35:00,19.17,0.00,,,,
163,01/16/2024 23:40:00,19.13,0.00,,,,
164,01/16/2024 23:45:00,19.13,0.00,,,,
165,01/16/2024 23:50:00,19.13,0.00,,,,
166,01/16/2024 23:55:00,19.22,0.00,,,,
167,01/17/2024 00:00:00,19.13,0.00,,,,
168,01/17/2024 00:05:00,19.13,0.00,,,,
169,01/17/2024 00:10:00,19.09,0.00,,,,
170,01/17/2024 00:15:00,19.13,0.00,,,,
171,01/17/2024 00:20:00,19.13,0.00,,,,
172,01/17/2024 00:25:00,19.13,0.00,,,,
173,01/17/2024 00:30:00,19.09,0.00,,,,
174,01/17/2024 00:35:00,19.09,0.00,,,,
175,01/17/2024 00:40:00,19.05,0.00,,,,
176,01/17/2024 00:45:00,19.09,0.00,,,,
177,01/17/2024 00:50:00,19.05,0.00,,,,
178,01/17/2024 00:55:00,19.09,0.00,,,,
179,01/17/2024 01:00:00,19.13,0.00,,,,
180,01/17/2024 01:05:00,19.09,0.00,,,,
181,01/17/2024 01:10:00,19.09,0.00,,,,
182,01/17/2024 01:15:00,19.09,0.00,,,,
183,01/17/2024 01:20:00,19.13,0.00,,,,
184,01/17/2024 01:25:00,19.09,0.00,,,,
185,01/17/2024 01:30:00,19.09,0.00,,,,
186,01/17/2024 01:35:00,19.09,0.00,,,,
187,01/17/2024 01:40:00,19.09,0.00,,,,
188,01/17/2024 01:45:00,19.05,0.00,,,,
189,01/17/2024 01:50:00,19.09,0.00,,,,
190,01/17/2024 01:55:00,19.09,0.00,,,,
191,01/17/2024 02:00:00,19.09,0.00,,,,
192,01/17/2024 02:05:00,19.05,0.00,,,,
193,01/17/2024 02:10:00,19.09,0.00,,,,
194,01/17/2024 02:15:00,19.05,0.00,,,,
195,01/17/2024 02:20:00,19.05,0.00,,,,
196,01/17/2024 02:25:00,19.05,0.00,,,,
197,01/17/2024 02:30:00,19.05,0.00,,,,
198,01/17/2024 02:35:00,19.09,0.00,,,,
199,01/17/2024 02:40:00,19.05,0.00,,,,
200,01/17/2024 02:45:00,19.09,0.00,,,,
201,01/17/2024 02:50:00,19.05,0.00,,,,
202,01/17/2024 02:55:00,19.05,0.00,,,,
203,01/17/2024 03:00:00,19.09,0.00,,,,
204,01/17/2024 03:05:00,19.09,0.00,,,,
205,01/17/2024 03:10:00,19.09,0.00,,,,
206,01/17/2024 03:15:00,19.05,0.00,,,,
207,01/17/2024 03:20:00,19.09,0.00,,,,
208,01/17/2024 03:25:00,19.09,0.00,,,,
209,01/17/2024 03:30:00,19.05,0.00,,,,
210,01/17/2024 03:35:00,19.09,0.00,,,,
211,01/17/2024 03:40:00,19.13,0.00,,,,
212,01/17/2024 03:45:00,19.09,0.00,,,,
213,01/17/2024 03:50:00,19.09,0.00,,,,
214,01/17/2024 03:55:00,19.13,0.00,,,,
215,01/17/2024 04:00:00,19.09,0.00,,,,
216,01/17/2024 04:05:00,19.09,0.00,,,,
217,01/17/2024 04:10:00,19.17,0.00,,,,
218,01/17/2024 04:15:00,19.13,0.00,,,,
219,01/17/2024 04:20:00,19.09,0.00,,,,
220,01/17/2024 04:25:00,19.09,0.00,,,,
221,01/17/2024 04:30:00,19.09,0.00,,,,
222,01/17/2024 04:35:00,19.13,0.00,,,,
223,01/17/2024 04:40:00,19.13,0.00,,,,
224,01/17/2024 04:45:00,19.13,0.00,,,,
225,01/17/2024 04:50:00,19.09,0.00,,,,
226,01/17/2024 04:55:00,19.09,0.00,,,,
227,01/17/2024 05:00:00,19.13,0.00,,,,
228,01/17/2024 05:05:00,19.09,0.00,,,,
229,01/17/2024 05:10:00,19.13,0.00,,,,
230,01/17/2024 05:15:00,19.13,0.00,,,,
231,01/17/2024 05:20:00,19.09,0.00,,,,
232,01/17/2024 05:25:00,19.13,0.00,,,,
233,01/17/2024 05:30:00,19.13,0.00,,,,
234,01/17/2024 05:35:00,19.13,0.00,,,,
235,01/17/2024 05:40:00,19.13,0.00,,,,
236,01/17/2024 05:45:00,19.13,0.00,,,,
237,01/17/2024 05:50:00,19.09,0.00,,,,
238,01/17/2024 05:55:00,19.13,0.00,,,,
239,01/17/2024 06:00:00,19.09,0.00,,,,
240,01/17/2024 06:05:00,19.09,0.00,,,,
241,01/17/2024 06:10:00,19.13,0.00,,,,
242,01/17/2024 06:15:00,19.09,0.00,,,,
243,01/17/2024 06:20:00,19.05,0.00,,,,
244,01/17/2024 06:25:00,19.13,0.00,,,,
245,01/17/2024 06:30:00,19.09,0.00,,,,
246,01/17/2024 06:35:00,19.09,0.00,,,,
247,01/17/2024 06:40:00,19.09,0.00,,,,
248,01/17/2024 06:45:00,19.13,0.00,,,,
249,01/17/2024 06:50:00,19.13,0.00,,,,
250,01/17/2024 06:55:00,19.13,0.00,,,,
251,01/17/2024 07:00:00,19.09,0.00,,,,
252,01/17/2024 07:05:00,19.13,0.00,,,,
253,01/17/2024 07:10:00,19.17,0.00,,,,
254,01/17/2024 07:15:00,19.13,0.00,,,,
255,01/17/2024 07:20:00,19.13,167.68,,,,
256,01/17/2024 07:25:00,19.17,165.92,,,,
257,01/17/2024 07:30:00,19.13,0.00,,,,
258,01/17/2024 07:35:00,19.13,0.00,,,,
259,01/17/2024 07:40:00,19.13,0.00,,,,
260,01/17/2024 07:45:00,19.13,0.00,,,,
261,01/17/2024 07:50:00,19.13,0.00,,,,
262,01/17/2024 07:55:00,19.13,0.00,,,,
263,01/17/2024 08:00:00,19.17,0.00,,,,
264,01/17/2024 08:05:00,19.13,0.00,,,,
265,01/17/2024 08:10:00,19.13,0.00,,,,
266,01/17/2024 08:15:00,19.13,0.00,,,,
267,01/17/2024 08:20:00,19.09,0.00,,,,
268,01/17/2024 08:25:00,19.13,0.00,,,,
269,01/17/2024 08:30:00,19.13,0.00,,,,
270,01/17/2024 08:35:00,19.13,0.00,,,,
271,01/17/2024 08:40:00,19.17,0.00,,,,
272,01/17/2024 08:45:00,19.17,0.00,,,,
273,01/17/2024 08:50:00,19.13,0.00,,,,
274,01/17/2024 08:55:00,19.13,0.00,,,,
275,01/17/2024 09:00:00,19.13,0.00,,,,
276,01/17/2024 09:05:00,19.13,0.00,,,,
277,01/17/2024 09:10:00,19.17,0.00,,,,
278,01/17/2024 09:15:00,19.13,164.24,,,,
279,01/17/2024 09:20:00,19.13,163.24,,,,
280,01/17/2024 09:25:00,19.17,162.48,,,,
281,01/17/2024 09:30:00,19.13,164.16,,,,
282,01/17/2024 09:35:00,19.17,165.04,,,,
283,01/17/2024 09:40:00,19.17,163.24,,,,
284,01/17/2024 09:45:00,19.17,0.00,,,,
285,01/17/2024 09:50:00,19.17,0.00,,,,
286,01/17/2024 09:55:00,19.13,0.00,,,,
287,01/17/2024 10:00:00,19.17,0.00,,,,
288,01/17/2024 10:05:00,19.17,0.00,,,,
289,01/17/2024 10:10:00,19.17,165.12,,,,
290,01/17/2024 10:15:00,19.17,163.48,,,,
291,01/17/2024 10:20:00,19.17,163.24,,,,
292,01/17/2024 10:25:00,19.22,164.16,,,,
293,01/17/2024 10:30:00,19.22,159.80,,,,
294,01/17/2024 10:35:00,19.17,163.24,,,,
295,01/17/2024 10:40:00,19.17,163.24,,,,
296,01/17/2024 10:45:00,19.17,162.36,,,,
297,01/17/2024 10:50:00,19.17,160.68,,,,
298,01/17/2024 10:55:00,19.17,160.68,,,,
299,01/17/2024 11:00:00,19.17,161.48,,,,
300,01/17/2024 11:05:00,19.17,160.68,,,,
301,01/17/2024 11:10:00,19.22,162.36,,,,
302,01/17/2024 11:15:00,19.22,159.80,,,,
303,01/17/2024 11:20:00,19.17,160.68,,,,
304,01/17/2024 11:25:00,19.22,159.80,,,,
305,01/17/2024 11:30:00,19.26,163.24,,,,
306,01/17/2024 11:35:00,19.22,159.80,,,,
307,01/17/2024 11:40:00,19.26,159.80,,,,
308,01/17/2024 11:45:00,19.22,161.48,,,,
309,01/17/2024 11:50:00,19.26,159.80,,,,
310,01/17/2024 11:55:00,19.22,159.80,,,,
311,01/17/2024 12:00:00,19.26,141.68,,,,
312,01/17/2024 12:05:00,19.30,161.56,,,,
313,01/17/2024 12:10:00,19.26,164.16,,,,
314,01/17/2024 12:15:00,19.26,162.36,,,,
315,01/17/2024 12:20:00,19.26,0.00,,,,
